date, pm25, pm10, o3, no2, so2, co
2025/11/1, 62, 20, 36, 2, 1, 3
2025/11/2, 39, 13, 25, 1, 2, 3
2025/11/3, 21, 18, 24, 1, 2, 4
2025/11/4, 31, 11, 31, 2, 2, 4
2025/11/5, 22, 14, 29, 3, 3, 3
2025/11/6, 22, 25, 18, 1, 1, 3
2025/11/7, 35, 20, 16, 1, 2, 3
2025/11/8, 30, 16, 23, 3, 2, 3
2025/11/9, 28, 23, , 6, 1, 4
2025/11/10, 45, 30, 34, 7, 1, 5
2025/11/11, 56, 30, 33, 8, 1, 5
2025/11/12, 52, 29, 43, 6, 3, 6
2025/11/13, 57, 32, 42, 5, 3, 5
2025/11/14, 63, 23, 37, 4, 3, 4
2025/11/15, 43, 24, 30, 1, 2, 4
2025/11/16, 43, 29, 30, 2, 2, 3
2025/11/17, 49, 34, 46, 2, 3, 5
2025/11/18, 76, 19, 29, 3, 3, 5
2025/11/19, 59, 28, 33, 5, 2, 5
2025/11/20, 66, 29, 43, 3, 3, 3
2025/11/21, 60, 35, 52, 4, 2, 4
2025/11/22, 65, 30, 35, 6, 3, 4
2025/11/23, 65, 33, 41, 8, 2, 5
2025/11/24, 69, 43, 52, 5, 3, 4
2025/11/25, 96, 44, 56, 5, 1, 4
2025/11/26, 94, 45, 45, 5, 2, 4
2025/11/27, 91, 46, 48, 10, 2, 5
2025/11/28, 80, 48, 45, 9, 1, 5
2025/11/29, 73, , , , , 
2025/10/1, 35, 15, 22, 4, 1, 4
2025/10/2, 31, 17, 16, 4, 1, 3
2025/10/3, 24, 18, 22, 5, 1, 3
2025/10/4, 34, 16, 22, 3, 1, 4
2025/10/5, 33, 19, 19, 2, 1, 4
2025/10/6, 37, 20, 33, 1, 1, 4
2025/10/7, 26, 16, 24, 3, 1, 3
2025/10/8, 23, 21, 22, 2, 1, 3
2025/10/9, 36, 24, 20, 2, 1, 3
2025/10/10, 54, 31, 22, 3, 1, 4
2025/10/11, 51, 26, 18, 3, , 4
2025/10/12, 36, 18, 16, 2, , 4
2025/10/13, 23, 25, 20, 2, 2, 4
2025/10/14, 25, 25, 15, 2, 2, 4
2025/10/15, 30, 24, 23, 1, 1, 3
2025/10/16, 37, 22, 18, 1, 2, 3
2025/10/17, 42, 25, 28, 2, 1, 3
2025/10/18, 44, 27, 41, 2, 2, 4
2025/10/19, 56, 26, 36, 2, 1, 4
2025/10/20, 59, 17, 27, 2, 1, 4
2025/10/21, 33, 11, 22, 2, 1, 4
2025/10/22, 16, 8, 28, 2, 1, 4
2025/10/23, 15, 14, 34, 2, 2, 4
2025/10/24, 38, 21, 41, 3, 1, 4
2025/10/25, 52, 28, 42, 2, 2, 4
2025/10/26, 65, 17, 36, 2, 2, 4
2025/10/27, 42, 11, 44, 2, 2, 4
2025/10/28, 27, 19, 38, 2, 2, 4
2025/10/29, 33, 12, , 2, 2, 2
2025/10/30, 30, 19, 37, 2, 2, 3
2025/10/31, 40, 29, 38, 2, 2, 4
2025/7/1, 38, 16, 15, 2, 1, 4
2025/7/2, 23, 16, 18, 2, 1, 4
2025/7/3, 22, 18, 20, 4, , 4
2025/7/4, 22, 21, 22, 3, 1, 3
2025/7/5, 25, 18, 21, 3, 1, 3
2025/7/6, 27, 18, 23, 3, , 3
2025/7/7, 26, 26, 24, 3, 1, 4
2025/7/8, 41, 22, 21, 3, , 3
2025/7/9, 42, 26, 33, 1, 1, 3
2025/7/10, 46, 25, 20, 1, 1, 3
2025/7/11, 44, 22, 25, 2, 1, 2
2025/7/12, 36, 22, 23, 3, 1, 2
2025/7/13, 46, 22, 22, 3, 1, 2
2025/7/14, 55, 22, 26, 2, 1, 2
2025/7/15, 55, 19, 24, 2, 1, 2
2025/7/16, 44, 18, 22, 1, 1, 2
2025/7/17, 40, 19, 23, 2, 1, 3
2025/7/18, 36, 21, 26, 2, 1, 3
2025/7/19, 31, 17, 40, 4, 1, 3
2025/7/20, 23, 26, 28, 3, 1, 3
2025/7/21, 34, 40, 20, 3, 1, 3
2025/7/22, 37, 24, 19, 4, 1, 3
2025/7/23, 33, 16, 17, 3, 1, 4
2025/7/24, 27, 19, 17, 2, 1, 4
2025/7/25, 24, 20, 25, 4, 1, 3
2025/7/26, 43, 16, 21, 4, 1, 3
2025/7/27, 32, 14, 19, 2, 1, 3
2025/7/28, 24, 24, 20, 4, 2, 4
2025/7/29, 46, 19, 20, 2, 1, 3
2025/7/30, 52, 28, 25, 2, 1, 2
2025/7/31, 58, 36, 28, 1, 1, 2
2025/8/1, 60, 33, 34, 1, 1, 1
2025/8/2, 61, 32, 29, 1, 1, 1
2025/8/3, 61, 27, 28, 2, 1, 2
2025/8/4, 48, 30, 33, 3, 1, 3
2025/8/5, 59, 37, 29, 2, 1, 3
2025/8/6, 65, 29, 28, 3, 1, 3
2025/8/7, 56, 22, 23, 2, 1, 3
2025/8/8, 42, 23, 32, 3, 1, 3
2025/8/9, 54, 18, 24, 1, 1, 3
2025/8/10, 41, 18, 24, 1, 1, 3
2025/8/11, 39, 24, 23, 3, 1, 3
2025/8/12, 27, 17, 23, 3, 1, 3
2025/8/13, 29, 21, 25, 2, 1, 3
2025/8/14, 31, 13, 22, 1, 1, 3
2025/8/15, 21, 26, 9, 1, 1, 3
2025/8/16, 22, 10, 13, 2, , 4
2025/8/17, 16, 12, 15, 3, , 4
2025/8/18, 15, 17, 19, 3, 1, 3
2025/8/19, 23, 22, 23, 3, 1, 3
2025/8/20, 33, 19, 16, 3, 1, 3
2025/8/21, 31, 13, 14, 2, 1, 3
2025/8/22, 19, 13, 20, 2, 1, 3
2025/8/23, 20, 15, 17, 2, 1, 4
2025/8/24, 17, 27, 23, , 1, 7
2025/8/25, 27, 29, 21, 1, 1, 10
2025/8/26, 46, 12, 20, 1, 1, 4
2025/8/27, 19, 15, 13, 2, 1, 2
