年份,教育支出,科技支出,文化旅游支出,社会保障支出,卫生健康支出,节能环保支出,城乡社区支出,农林水支出,交通运输支出,公共安全支出
2012,217256,0,0,0,0,0,0,107959,0,0
2013,242341,0,0,0,0,0,0,121514,0,0
2014,272361,0,0,0,0,0,0,142347,0,0
2015,326709,0,0,0,0,0,0,186756,0,0
2016,354461,0,0,0,0,0,0,207543,0,0
2017,359020,0,0,0,0,0,0,174101,0,0
2018,211224,31157,40522,106247,97812,79319,265651,198377,41749,96495
2019,224140,142459,70144,127419,118827,84052,319610,217614,74169,102928
2020,237056,150320,83741,131611,178314,85419,321167,225877,116066,103398
2021,242306,158545,43985,133521,121186,85767,431935,226579,98431,101781
2022,246753,180290,35782,147190,343425,74411,439851,228361,148671,107144
2023,267415,205916,76906,218326,259203,23369,217333,228951,178348,106215
